content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes,webrtc-1_pts_ms,webrtc-1_arrival_us,webrtc-1_bytes
0a96cb5ba4ebabc6,114101,99201867,139322,114058,99212941,139322,114038,99212628,139322
0a9a8563dc426379,90009,75147858,345654,90013,75176335,345694,89998,75177021,345694
0a9ae01d4bbca2cf,71279,56345645,132584,71273,56355381,132584,71279,56419041,132584
0a9d8fe1fd399c2d,17258,2351103,140842,17217,2365302,140842,17201,2361769,140842
0aa10b30c6eb5da1,98544,83641845,139979,98494,83654852,139979,98478,83652299,139979
0aa41421e9088dbf,74481,59581147,138312,74437,59591631,138312,74422,59597020,138312
0aa95344cd3f3bae,98913,84001827,140192,98884,84017172,140192,98865,84012706,140192
0acd4ba7201a986b,38567,23680452,137665,38533,23692618,137665,38518,23692379,137665
0ad231676e5055e9,112479,97560933,131144,112444,97573467,131144,112429,97571032,131144
0ad5549e640f0c2b,45306,30399445,129952,45275,30409232,129952,45257,30409547,129952
0b204d79a5a34bad,45468,30560467,137198,45435,30570715,137198,45416,30571046,137198
0b210b4a81926922,18391,3459217,131628,18366,3474747,131628,18352,3469181,131628
0b5ec3b25b1e0845,35373,20480255,136492,35336,20493229,136492,35323,20490126,136492
0b6d408ff8df9860,19370,4464076,138257,19325,4474634,138257,19307,4474992,138257
0bb3f65a958fda22,108370,93461656,138500,108336,93472080,138500,108321,93472272,138500
0bc808cf639c449f,22110,7180529,138912,22084,7191859,138912,22070,7191576,138912
0bcd30defc9cb064,63669,48743958,137000,63640,48753693,137000,63623,48756245,137000
0bd02d50f5049aa5,53456,38537537,116721,53417,38546747,116721,53402,38547060,116721
0beea9af8eea7d38,33853,18931267,112168,33860,18940057,112168,33843,18942470,112168
0c042dba6fe37ee8,38300,23380547,137786,38255,23390540,137786,38248,23390918,137786
0c1a7675fb2e615f,17849,2995683,395064,17867,3030059,395104,17852,3031443,395104
